"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"MÁRIO DE OLIVEIRA              ","MARIO DE OLIVEIRA              ","PPB","MG","titular",2/1/1995,1/31/1999
"MÁRIO MARTINS                  ","MARIO MARTINS                  ","PMDB","PA","efetivado",4/25/1996,1/31/1999
"MÁRIO NEGROMONTE               ","MARIO NEGROMONTE               ","PSDB","BA","titular",2/1/1995,1/31/1999
"MARISA SERRANO                 ","MARISA SERRANO                 ","PSDB","MS","titular",2/1/1995,1/31/1999
"MARQUINHO CHEDID               ","MARQUINHO CHEDID               ","PSD","SP","titular",2/1/1995,1/31/1999
"MARTA SUPLICY                  ","MARTA SUPLICY                  ","PT","SP","titular",2/1/1995,1/31/1999
"MATHEUS SCHMIDT                ","MATHEUS SCHMIDT                ","PDT","RS","titular",2/1/1995,1/31/1999
"MAURI SÉRGIO                   ","MAURI SERGIO                   ","PMDB","AC","titular",2/1/1995,12/18/1996
"MAURÍCIO CAMPOS                ","MAURICIO CAMPOS                ","PSDB","MG","titular",2/1/1995,8/11/1996
"MAURÍCIO CAMPOS                ","MAURICIO CAMPOS                ","PSDB","MG","titular",1/1/1998,5/10/1998
"MAURÍCIO CAMPOS                ","MAURICIO CAMPOS                ","PSDB","MG","titular",9/3/1998,1/31/1999
"MAURÍCIO NAJAR                 ","MAURICIO NAJAR                 ","PFL","SP","titular",2/1/1995,6/12/1997
"MAURÍCIO NAJAR                 ","MAURICIO NAJAR                 ","PFL","SP","titular",3/19/1998,1/31/1999
"MAURÍCIO REQUIÃO               ","MAURICIO REQUIAO               ","PMDB","PR","titular",2/1/1995,1/31/1999
"MAURO FECURY                   ","MAURO FECURY                   ","PFL","MA","titular",2/1/1995,1/31/1999
"MAURO LOPES                    ","MAURO LOPES                    ","PMDB","MG","titular",2/1/1995,1/31/1999
"MAX ROSENMANN                  ","MAX ROSENMANN                  ","PSDB","PR","titular",2/1/1995,1/31/1999
"MELQUÍADES NETO                ","MELQUIADES NETO                ","PFL","TO","suplente",3/6/1995,7/31/1995
"MELQUÍADES NETO                ","MELQUIADES NETO                ","PFL","TO","suplente",4/2/1996,8/6/1996
"MELQUÍADES NETO                ","MELQUIADES NETO                ","PFL","TO","suplente",9/18/1996,10/20/1996
"MELQUÍADES NETO                ","MELQUIADES NETO                ","PFL","TO","suplente",10/15/1997,11/24/1997
"MELQUÍADES NETO                ","MELQUIADES NETO                ","PFL","TO","suplente",8/3/1998,12/1/1998
"MENDES RIBEIRO FILHO           ","MENDES RIBEIRO FILHO           ","PMDB","RS","titular",2/1/1995,2/1/1995
"MENDES RIBEIRO FILHO           ","MENDES RIBEIRO FILHO           ","PMDB","RS","titular",3/21/1996,4/9/1996
"MENDES RIBEIRO FILHO           ","MENDES RIBEIRO FILHO           ","PMDB","RS","titular",3/30/1998,11/3/1998
"MENDES RIBEIRO FILHO           ","MENDES RIBEIRO FILHO           ","PMDB","RS","titular",1/1/1999,1/31/1999
"MENDONÇA FILHO                 ","MENDONCA FILHO                 ","PFL","PE","titular",2/1/1995,12/31/1998
"MESSIAS GOIS                   ","MESSIAS GOIS                   ","PFL","SE","suplente",11/19/1997,4/1/1998
"MESSIAS GOIS                   ","MESSIAS GOIS                   ","PFL","SE","suplente",4/3/1998,8/5/1998
"MICHEL TEMER                   ","MICHEL TEMER                   ","PMDB","SP","titular",2/1/1995,1/31/1999
"MIGUEL ROSSETTO                ","MIGUEL ROSSETTO                ","PT","RS","titular",2/1/1995,12/31/1998
"MILTON BARBOSA                 ","MILTON BARBOSA                 ","PFL","BA","suplente",1/6/1999,1/31/1999
"MILTON MENDES                  ","MILTON MENDES                  ","PT","SC","titular",2/1/1995,1/31/1999
"MILTON TEMER                   ","MILTON TEMER                   ","PT","RJ","titular",2/1/1995,1/31/1999
"MIRO TEIXEIRA                  ","MIRO TEIXEIRA                  ","PDT","RJ","titular",2/1/1995,1/31/1999
"MOACIR MICHELETTO              ","MOACIR MICHELETTO              ","PMDB","PR","efetivado",3/3/1997,1/31/1999
"MOACYR ANDRADE                 ","MOACYR ANDRADE                 ","PPB","AL","titular",2/1/1995,1/31/1999
"MOISÉS BENNESBY                ","MOISES BENNESBY                ","PSDB","RO","efetivado",12/13/1996,1/31/1999
"MOISES LIPNIK                  ","MOISES LIPNIK                  ","PL","RR","titular",2/1/1995,1/31/1999
"MOREIRA FRANCO                 ","MOREIRA FRANCO                 ","PMDB","RJ","titular",2/1/1995,1/31/1999
"MURILO DOMINGOS                ","MURILO DOMINGOS                ","PTB","MT","efetivado",3/28/1996,7/30/1996
"MURILO DOMINGOS                ","MURILO DOMINGOS                ","PTB","MT","efetivado",10/30/1996,1/31/1999
"MURILO PINHEIRO                ","MURILO PINHEIRO                ","PFL","AP","titular",2/1/1995,1/31/1999
"MUSSA DEMES                    ","MUSSA DEMES                    ","PFL","PI","titular",2/1/1995,1/31/1999
"NAIR XAVIER LOBO               ","NAIR XAVIER LOBO               ","PMDB","GO","suplente",4/27/1995,6/9/1996
"NAIR XAVIER LOBO               ","NAIR XAVIER LOBO               ","PMDB","GO","suplente",6/10/1996,11/19/1996
"NAIR XAVIER LOBO               ","NAIR XAVIER LOBO               ","PMDB","GO","suplente",11/21/1996,10/14/1998
"NAIR XAVIER LOBO               ","NAIR XAVIER LOBO               ","PMDB","GO","suplente",10/26/1998,12/31/1998
"NAN SOUZA                      ","NAN SOUZA                      ","PFL","MA","suplente",2/23/1995,4/2/1998
"NAN SOUZA                      ","NAN SOUZA                      ","PFL","MA","suplente",9/29/1998,10/6/1998
"NAN SOUZA                      ","NAN SOUZA                      ","PFL","MA","suplente",1/1/1999,1/31/1999
"NARCIO RODRIGUES               ","NARCIO RODRIGUES               ","PSDB","MG","suplente",12/22/1995,6/3/1996
"NARCIO RODRIGUES               ","NARCIO RODRIGUES               ","PSDB","MG","suplente",8/12/1996,2/2/1997
"NARCIO RODRIGUES               ","NARCIO RODRIGUES               ","PSDB","MG","suplente",2/7/1997,4/1/1998
"NEDSON MICHELETI               ","NEDSON MICHELETI               ","PT","PR","titular",2/1/1995,1/31/1999
"NEIF JABUR                     ","NEIF JABUR                     ","PMDB","MG","efetivado",1/2/1997,1/31/1999
"NEIVA MOREIRA                  ","NEIVA MOREIRA                  ","PDT","MA","efetivado",1/3/1997,1/31/1999
"NELSON BORNIER                 ","NELSON BORNIER                 ","PSDB","RJ","titular",2/1/1995,3/1/1995
"NELSON BORNIER                 ","NELSON BORNIER                 ","PSDB","RJ","titular",6/11/1996,12/30/1996
"NELSON HARTER                  ","NELSON HARTER                  ","PMDB","RS","suplente",7/1/1997,3/29/1998
"NELSON HARTER                  ","NELSON HARTER                  ","PMDB","RS","suplente",11/4/1998,12/31/1998
"NELSON MARCHEZAN               ","NELSON MARCHEZAN               ","PSDB","RS","titular",2/1/1995,1/31/1999
"NELSON MARQUEZELLI             ","NELSON MARQUEZELLI             ","PTB","SP","titular",2/1/1995,1/31/1999
"NELSON MEURER                  ","NELSON MEURER                  ","PPB","PR","titular",2/1/1995,1/31/1999
"NELSON OTOCH                   ","NELSON OTOCH                   ","PSDB","CE","titular",2/1/1995,1/31/1999
"NELSON PROENÇA                 ","NELSON PROENCA                 ","PMDB","RS","titular",2/1/1995,2/1/1995
"NELSON PROENÇA                 ","NELSON PROENCA                 ","PMDB","RS","titular",3/21/1996,4/9/1996
"NELSON PROENÇA                 ","NELSON PROENCA                 ","PMDB","RS","titular",4/2/1998,11/3/1998
"NELSON PROENÇA                 ","NELSON PROENCA                 ","PMDB","RS","titular",1/1/1999,1/31/1999
"NELSON TRAD                    ","NELSON TRAD                    ","PTB","MS","titular",2/1/1995,8/5/1996
"NELSON TRAD                    ","NELSON TRAD                    ","PTB","MS","titular",12/6/1996,1/31/1999
"NESTOR DUARTE                  ","NESTOR DUARTE                  ","PSDB","BA","titular",2/1/1995,1/31/1999
"NEUTO DE CONTO                 ","NEUTO DE CONTO                 ","PMDB","SC","titular",2/1/1995,2/12/1995
"NEUTO DE CONTO                 ","NEUTO DE CONTO                 ","PMDB","SC","titular",12/17/1996,1/31/1999
"NEWTON CARDOSO                 ","NEWTON CARDOSO                 ","PMDB","MG","titular",2/1/1995,12/30/1996
"NEY LOPES                      ","NEY LOPES                      ","PFL","RN","titular",2/1/1995,1/31/1999
"NICIAS RIBEIRO                 ","NICIAS RIBEIRO                 ","PSDB","PA","titular",2/1/1995,1/31/1999
"NILMÁRIO MIRANDA               ","NILMARIO MIRANDA               ","PT","MG","titular",2/1/1995,1/31/1999
"NILSON GIBSON                  ","NILSON GIBSON                  ","PSB","PE","titular",2/1/1995,1/31/1999
"NILTON BAIANO                  ","NILTON BAIANO                  ","PPB","ES","titular",2/1/1995,1/31/1999
"NILTON CERQUEIRA               ","NILTON CERQUEIRA               ","PSDB","RJ","efetivado",2/1/1995,5/16/1995
"NILTON CERQUEIRA               ","NILTON CERQUEIRA               ","PSDB","RJ","efetivado",2/19/1997,2/19/1997
"NILTON CERQUEIRA               ","NILTON CERQUEIRA               ","PSDB","RJ","efetivado",4/3/1998,1/31/1999
"NOEL DE OLIVEIRA               ","NOEL DE OLIVEIRA               ","PMDB","RJ","titular",2/1/1995,1/31/1999
"OCTÁVIO ELÍSIO                 ","OCTAVIO ELISIO                 ","PSDB","MG","suplente",2/25/1997,12/31/1997
"ODACIR KLEIN                   ","ODACIR KLEIN                   ","PMDB","RS","titular",2/1/1995,2/2/1995
"ODACIR KLEIN                   ","ODACIR KLEIN                   ","PMDB","RS","titular",8/16/1996,1/31/1999
"ODAISA FERNANDES               ","ODAISA FERNANDES               ","PSDB","RO","suplente",3/3/1998,4/1/1998
"ODELMO LEÃO                    ","ODELMO LEAO                    ","PPB","MG","titular",2/1/1995,1/31/1999
"ODÍLIO BALBINOTTI              ","ODILIO BALBINOTTI              ","PSDB","PR","titular",2/1/1995,1/31/1999
"ODIR ROCHA                     ","ODIR ROCHA                     ","PPB","TO","suplente",2/3/1995,3/2/1995
"OLÁVIO ROCHA                   ","OLAVIO ROCHA                   ","PSDB","PA","titular",2/1/1995,1/31/1999
"OLAVO CALHEIROS                ","OLAVO CALHEIROS                ","PMDB","AL","suplente",2/3/1995,7/23/1997
"ORCINO GONÇALVES               ","ORCINO GONCALVES               ","PMDB","GO","titular",2/1/1995,1/31/1999
"OSCAR ANDRADE                  ","OSCAR ANDRADE                  ","PFL","RO","efetivado",1/10/1996,10/21/1996
"OSCAR ANDRADE                  ","OSCAR ANDRADE                  ","PFL","RO","efetivado",1/1/1997,1/31/1999
"OSCAR GOLDONI                  ","OSCAR GOLDONI                  ","PMDB","MS","titular",2/1/1995,1/31/1999
"OSMÂNIO PEREIRA                ","OSMANIO PEREIRA                ","PSDB","MG","titular",2/1/1995,1/31/1999
"OSMAR LEITÃO                   ","OSMAR LEITAO                   ","PPB","RJ","efetivado",6/3/1996,2/16/1997
"OSMAR LEITÃO                   ","OSMAR LEITAO                   ","PPB","RJ","efetivado",2/25/1997,1/31/1999
"OSMIR LIMA                     ","OSMIR LIMA                     ","PFL","AC","efetivado",12/4/1995,1/31/1999
"OSÓRIO ADRIANO                 ","OSORIO ADRIANO                 ","PFL","DF","titular",2/1/1995,1/31/1999
"OSVALDO BIOLCHI                ","OSVALDO BIOLCHI                ","PTB","RS","titular",2/1/1995,6/30/1998
"OSVALDO BIOLCHI                ","OSVALDO BIOLCHI                ","PTB","RS","titular",11/1/1998,1/31/1999
"OSVALDO COELHO                 ","OSVALDO COELHO                 ","PFL","PE","titular",2/1/1995,1/31/1999
"OSVALDO REIS                   ","OSVALDO REIS                   ","PPB","TO","titular",2/1/1995,4/1/1996
"OSVALDO REIS                   ","OSVALDO REIS                   ","PPB","TO","titular",8/1/1996,8/2/1998
"OSVALDO REIS                   ","OSVALDO REIS                   ","PPB","TO","titular",12/2/1998,1/31/1999
"OSWALDO SOLER                  ","OSWALDO SOLER                  ","PSDB","MT","suplente",7/9/1996,10/20/1997
"PADRE ROQUE                    ","PADRE ROQUE                    ","PT","PR","titular",2/1/1995,1/31/1999
"PAES DE ANDRADE                ","PAES DE ANDRADE                ","PMDB","CE","titular",2/1/1995,1/31/1999
"PAES LANDIM                    ","PAES LANDIM                    ","PFL","PI","titular",2/1/1995,1/31/1999
"PAUDERNEY AVELINO              ","PAUDERNEY AVELINO              ","PFL","AM","titular",2/1/1995,1/31/1999
"PAULO BAUER                    ","PAULO BAUER                    ","PFL","SC","titular",2/1/1995,2/25/1997
"PAULO BAUER                    ","PAULO BAUER                    ","PFL","SC","titular",6/29/1997,12/31/1998
"PAULO BERNARDO                 ","PAULO BERNARDO                 ","PT","PR","titular",2/1/1995,12/31/1998
"PAULO BORNHAUSEN               ","PAULO BORNHAUSEN               ","PFL","SC","titular",2/1/1995,1/31/1999
"PAULO CORDEIRO                 ","PAULO CORDEIRO                 ","PFL","PR","titular",2/1/1995,1/31/1999
"PAULO DELGADO                  ","PAULO DELGADO                  ","PT","MG","titular",2/1/1995,1/31/1999
"PAULO FEIJÓ                    ","PAULO FEIJO                    ","PSDB","RJ","suplente",3/6/1995,2/16/1997
"PAULO FEIJÓ                    ","PAULO FEIJO                    ","PSDB","RJ","suplente",2/20/1997,4/2/1998
"PAULO FEIJÓ                    ","PAULO FEIJO                    ","PSDB","RJ","suplente",1/14/1999,1/31/1999
"PAULO GOUVÊA                   ","PAULO GOUVEA                   ","PFL","SC","titular",2/1/1995,1/31/1999
"PAULO HESLANDER                ","PAULO HESLANDER                ","PTB","MG","titular",2/1/1995,1/31/1999
"PAULO LIMA                     ","PAULO LIMA                     ","PFL","SP","titular",2/1/1995,1/31/1999
"PAULO LUSTOSA                  ","PAULO LUSTOSA                  ","PMDB","CE","efetivado",5/13/1997,1/31/1999
"PAULO MOURÃO                   ","PAULO MOURAO                   ","PSDB","TO","titular",2/1/1995,1/31/1999
"PAULO NASCIMENTO               ","PAULO NASCIMENTO               ","PPB","RJ","suplente",1/2/1997,2/16/1997
"PAULO NASCIMENTO               ","PAULO NASCIMENTO               ","PPB","RJ","suplente",1/6/1998,3/30/1998
"PAULO NASCIMENTO               ","PAULO NASCIMENTO               ","PPB","RJ","suplente",1/1/1999,1/31/1999
"PAULO PAIM                     ","PAULO PAIM                     ","PT","RS","titular",2/1/1995,1/31/1999
"PAULO RITZEL                   ","PAULO RITZEL                   ","PMDB","RS","titular",2/1/1995,1/31/1999
"PAULO ROCHA                    ","PAULO ROCHA                    ","PT","PA","titular",2/1/1995,1/31/1999
"PAULO TITAN                    ","PAULO TITAN                    ","PMDB","PA","titular",2/1/1995,12/31/1996
"PEDRINHO ABRÃO                 ","PEDRINHO ABRAO                 ","PTB","GO","titular",2/1/1995,1/31/1999
"PEDRO CANEDO                   ","PEDRO CANEDO                   ","PL","GO","titular",2/1/1995,1/31/1999
"PEDRO CORREA                   ","PEDRO CORREA                   ","PPB","PE","titular",2/1/1995,1/31/1999
"PEDRO HENRY                    ","PEDRO HENRY                    ","PSDB","MT","efetivado",3/8/1996,1/31/1999
"PEDRO IRUJO                    ","PEDRO IRUJO                    ","PMDB","BA","titular",2/1/1995,1/31/1999
"PEDRO NOVAIS                   ","PEDRO NOVAIS                   ","PMDB","MA","titular",2/1/1995,1/31/1999
"PEDRO VALADARES                ","PEDRO VALADARES                ","PSB","SE","efetivado",7/19/1995,1/31/1999
"PEDRO WILSON                   ","PEDRO WILSON                   ","PT","GO","titular",2/1/1995,1/31/1999
"PEDRO YVES                     ","PEDRO YVES                     ","PPB","SP","suplente",5/6/1996,1/27/1997
"PEDRO YVES                     ","PEDRO YVES                     ","PPB","SP","suplente",1/30/1997,2/24/1997
"PEDRO YVES                     ","PEDRO YVES                     ","PPB","SP","suplente",2/28/1997,4/1/1998
"PHILEMON RODRIGUES             ","PHILEMON RODRIGUES             ","PTB","MG","titular",2/1/1995,1/31/1999
"PIMENTEL GOMES                 ","PIMENTEL GOMES                 ","PPS","CE","titular",2/1/1995,1/31/1999
"PINHEIRO LANDIM                ","PINHEIRO LANDIM                ","PMDB","CE","titular",2/1/1995,1/31/1999
"PRISCO VIANA                   ","PRISCO VIANA                   ","PPB","BA","titular",2/1/1995,1/31/1999
"RAIMUNDO BEZERRA               ","RAIMUNDO BEZERRA               ","PMDB","CE","suplente",6/30/1995,10/31/1995
"RAIMUNDO COLOMBO               ","RAIMUNDO COLOMBO               ","PFL","SC","efetivado",2/26/1997,6/28/1997
"RAIMUNDO COLOMBO               ","RAIMUNDO COLOMBO               ","PFL","SC","efetivado",1/5/1999,1/31/1999
"RAIMUNDO GOMES DE MATOS        ","RAIMUNDO GOMES DE MATOS        ","PSDB","CE","suplente",1/2/1997,4/2/1998
"RAIMUNDO SANTOS                ","RAIMUNDO SANTOS                ","PFL","PA","titular",2/1/1995,1/31/1999
"RAQUEL CAPIBERIBE              ","RAQUEL CAPIBERIBE              ","PSB","AP","titular",2/1/1995,1/31/1999
"RAUL BELÉM                     ","RAUL BELEM                     ","PFL","MG","titular",2/1/1995,1/31/1999
"REGINA LINO                    ","REGINA LINO                    ","PMDB","AC","efetivado",12/20/1996,1/31/1999
"RÉGIS DE OLIVEIRA              ","REGIS DE OLIVEIRA              ","PFL","SP","titular",2/1/1995,12/30/1996
"REINHOLD STEPHANES             ","REINHOLD STEPHANES             ","PFL","PR","titular",2/1/1995,2/2/1995
"REINHOLD STEPHANES             ","REINHOLD STEPHANES             ","PFL","PR","titular",4/3/1998,1/31/1999
"REMI TRINTA                    ","REMI TRINTA                    ","PL","MA","titular",2/1/1995,1/31/1999
"RENAN KURTZ                    ","RENAN KURTZ                    ","PDT","RS","titular",2/1/1995,1/31/1999
"RENATO JOHNSSON                ","RENATO JOHNSSON                ","PSDB","PR","titular",2/1/1995,1/31/1999
"RICARDO BARROS                 ","RICARDO BARROS                 ","PPB","PR","titular",2/1/1995,1/31/1999
"RICARDO GOMYDE                 ","RICARDO GOMYDE                 ","PC DO B","PR","titular",2/1/1995,1/31/1999
"RICARDO HERÁCLIO               ","RICARDO HERACLIO               ","PSB","PE","suplente",2/3/1995,4/1/1998
"RICARDO IZAR                   ","RICARDO IZAR                   ","PPB","SP","titular",2/1/1995,1/31/1999
"RICARDO RIQUE                  ","RICARDO RIQUE                  ","PMDB","PB","efetivado",5/11/1995,10/9/1995
"RICARDO RIQUE                  ","RICARDO RIQUE                  ","PMDB","PB","efetivado",8/6/1996,12/4/1996
"RICARDO RIQUE                  ","RICARDO RIQUE                  ","PMDB","PB","efetivado",1/1/1997,1/31/1999
"RITA CAMATA                    ","RITA CAMATA                    ","PMDB","ES","titular",2/1/1995,1/31/1999
"RIVALDO MACARI                 ","RIVALDO MACARI                 ","PMDB","SC","suplente",2/14/1995,7/11/1996
"RIVALDO MACARI                 ","RIVALDO MACARI                 ","PMDB","SC","suplente",11/10/1996,12/16/1996
"ROBÉRIO ARAÚJO                 ","ROBERIO ARAUJO                 ","PPB","RR","titular",2/1/1995,1/31/1999
"ROBERTO BALESTRA               ","ROBERTO BALESTRA               ","PPB","GO","titular",2/1/1995,1/31/1999
"ROBERTO BRANT                  ","ROBERTO BRANT                  ","PSDB","MG","titular",2/1/1995,1/31/1999
"ROBERTO CAMPOS                 ","ROBERTO CAMPOS                 ","PPB","RJ","titular",2/1/1995,1/31/1999
"ROBERTO FONTES                 ","ROBERTO FONTES                 ","PFL","PE","titular",2/1/1995,1/31/1999
"ROBERTO FRANÇA                 ","ROBERTO FRANCA                 ","PSDB","MT","titular",2/1/1995,7/2/1996
"ROBERTO JEFFERSON              ","ROBERTO JEFFERSON              ","PTB","RJ","titular",2/1/1995,1/31/1999
"ROBERTO MAGALHÃES              ","ROBERTO MAGALHAES              ","PFL","PE","titular",2/1/1995,12/31/1996
"ROBERTO PAULINO                ","ROBERTO PAULINO                ","PMDB","PB","titular",2/1/1995,5/9/1995
"ROBERTO PAULINO                ","ROBERTO PAULINO                ","PMDB","PB","titular",10/10/1995,12/9/1998
"ROBERTO PESSOA                 ","ROBERTO PESSOA                 ","PFL","CE","titular",2/1/1995,1/31/1999
"ROBERTO ROCHA                  ","ROBERTO ROCHA                  ","PSDB","MA","titular",2/1/1995,1/31/1999
"ROBERTO SANTOS                 ","ROBERTO SANTOS                 ","PSDB","BA","titular",2/1/1995,1/31/1999
"ROBERTO VALADÃO                ","ROBERTO VALADAO                ","PMDB","ES","titular",2/1/1995,1/31/1999
"ROBSON ROMERO                  ","ROBSON ROMERO                  ","PSDB","RJ","suplente",1/14/1997,2/6/1997
"ROBSON ROMERO                  ","ROBSON ROMERO                  ","PSDB","RJ","suplente",2/25/1997,4/23/1997
"ROBSON ROMERO                  ","ROBSON ROMERO                  ","PSDB","RJ","suplente",5/13/1997,9/1/1997
"ROBSON TUMA                    ","ROBSON TUMA                    ","PFL","SP","titular",2/1/1995,1/31/1999
"RODRIGUES PALMA                ","RODRIGUES PALMA                ","PTB","MT","titular",2/1/1995,1/31/1999
"ROGÉRIO SILVA                  ","ROGERIO SILVA                  ","PFL","MT","titular",2/1/1995,1/31/1999
"ROLAND LAVIGNE                 ","ROLAND LAVIGNE                 ","PFL","BA","titular",2/1/1995,1/31/1999
"ROMEL ANÍZIO                   ","ROMEL ANIZIO                   ","PPB","MG","titular",2/1/1995,1/31/1999
"ROMMEL FEIJÓ                   ","ROMMEL FEIJO                   ","PSDB","CE","titular",2/1/1995,1/31/1999
"RONALDO CEZAR COELHO           ","RONALDO CEZAR COELHO           ","PSDB","RJ","titular",2/1/1995,2/2/1995
"RONALDO CEZAR COELHO           ","RONALDO CEZAR COELHO           ","PSDB","RJ","titular",6/19/1996,7/9/1996
"RONALDO CEZAR COELHO           ","RONALDO CEZAR COELHO           ","PSDB","RJ","titular",2/20/1997,2/20/1997
"RONALDO CEZAR COELHO           ","RONALDO CEZAR COELHO           ","PSDB","RJ","titular",4/24/1997,1/31/1999
"RONALDO PERIM                  ","RONALDO PERIM                  ","PMDB","MG","titular",2/1/1995,1/31/1999
"RONALDO SANTOS                 ","RONALDO SANTOS                 ","PSDB","RJ","titular",2/17/1997,1/31/1999
"RONIVON SANTIAGO               ","RONIVON SANTIAGO               ","PFL","AC","titular",2/1/1995,5/20/1997
"RUBEM MEDINA                   ","RUBEM MEDINA                   ","PFL","RJ","titular",2/1/1995,1/31/1999
"RUBENS COSAC                   ","RUBENS COSAC                   ","PMDB","GO","titular",2/1/1995,1/31/1999
"SALATIEL CARVALHO              ","SALATIEL CARVALHO              ","PPB","PE","titular",2/1/1995,1/31/1999
"SALOMÃO CRUZ                   ","SALOMAO CRUZ                   ","PSDB","RR","titular",2/1/1995,1/31/1999
"SALVADOR ZIMBALDI              ","SALVADOR ZIMBALDI              ","PSDB","SP","titular",2/1/1995,1/31/1999
"SANDRA STARLING                ","SANDRA STARLING                ","PT","MG","titular",2/1/1995,1/31/1999
"SANDRO MABEL                   ","SANDRO MABEL                   ","PMDB","GO","titular",2/1/1995,1/31/1999
"SARAIVA FELIPE                 ","SARAIVA FELIPE                 ","PMDB","MG","titular",2/1/1995,1/31/1999
"SARNEY FILHO                   ","SARNEY FILHO                   ","PFL","MA","titular",2/1/1995,6/7/1998
"SARNEY FILHO                   ","SARNEY FILHO                   ","PFL","MA","titular",10/7/1998,12/31/1998
"SAULO QUEIROZ                  ","SAULO QUEIROZ                  ","PFL","MS","titular",2/1/1995,1/31/1999
"SEBASTIÃO MADEIRA              ","SEBASTIAO MADEIRA              ","PSDB","MA","titular",2/1/1995,1/31/1999
"SERAFIM VENZON                 ","SERAFIM VENZON                 ","PDT","SC","titular",2/1/1995,1/31/1999
"SERGIO AROUCA                  ","SERGIO AROUCA                  ","PPS","RJ","titular",2/1/1995,1/31/1999
"SÉRGIO BARCELLOS               ","SERGIO BARCELLOS               ","PFL","AP","titular",2/1/1995,1/31/1999
"SÉRGIO CARNEIRO                ","SERGIO CARNEIRO                ","PDT","BA","titular",2/1/1995,1/31/1999
"SÉRGIO GUERRA                  ","SERGIO GUERRA                  ","PSB","PE","titular",2/1/1995,9/4/1997
"SÉRGIO GUERRA                  ","SERGIO GUERRA                  ","PSB","PE","titular",4/2/1998,1/31/1999
"SÉRGIO MIRANDA                 ","SERGIO MIRANDA                 ","PC DO B","MG","titular",2/1/1995,1/31/1999
"SÉRGIO NAYA                    ","SERGIO NAYA                    ","S. PART.","MG","titular",2/1/1995,4/14/1998
"SEVERIANO ALVES                ","SEVERIANO ALVES                ","PDT","BA","titular",2/1/1995,1/31/1999
"SEVERINO CAVALCANTI            ","SEVERINO CAVALCANTI            ","PPB","PE","titular",2/1/1995,1/31/1999
"SILAS BRASILEIRO               ","SILAS BRASILEIRO               ","PMDB","MG","titular",2/1/1995,1/31/1999
"SILVERNANI SANTOS              ","SILVERNANI SANTOS              ","PFL","RO","titular",2/1/1995,1/31/1999
"SÍLVIO ABREU                   ","SILVIO ABREU                   ","PDT","MG","titular",2/1/1995,1/31/1999
"SÍLVIO PESSOA                  ","SILVIO PESSOA                  ","PMDB","PE","efetivado",1/2/1997,1/31/1999
"SILVIO TORRES                  ","SILVIO TORRES                  ","PSDB","SP","titular",2/1/1995,1/31/1999
"SIMÃO SESSIM                   ","SIMAO SESSIM                   ","PPB","RJ","titular",2/1/1995,1/31/1999
"SIMARA ELLERY                  ","SIMARA ELLERY                  ","PMDB","BA","titular",2/1/1995,1/31/1999
"SOCORRO GOMES                  ","SOCORRO GOMES                  ","PC DO B","PA","titular",2/1/1995,1/31/1999
"SYLVIO LOPES                   ","SYLVIO LOPES                   ","PSDB","RJ","titular",2/3/1995,12/30/1996
"TALVANE ALBUQUERQUE            ","TALVANE ALBUQUERQUE            ","S. PART.","AL","titular",2/1/1995,1/31/1999
"TELMA DE SOUZA                 ","TELMA DE SOUZA                 ","PT","SP","titular",2/1/1995,1/31/1999
"TELMO KIRST                    ","TELMO KIRST                    ","PPB","RS","titular",2/1/1995,3/11/1996
"TELMO KIRST                    ","TELMO KIRST                    ","PPB","RS","titular",1/13/1997,2/6/1997
"TELMO KIRST                    ","TELMO KIRST                    ","PPB","RS","titular",2/21/1997,3/2/1997
"TELMO KIRST                    ","TELMO KIRST                    ","PPB","RS","titular",3/30/1998,11/3/1998
"TELMO KIRST                    ","TELMO KIRST                    ","PPB","RS","titular",11/19/1998,11/22/1998
"TELMO KIRST                    ","TELMO KIRST                    ","PPB","RS","titular",1/1/1999,1/31/1999
"TETE BEZERRA                   ","TETE BEZERRA                   ","PMDB","MT","titular",2/1/1995,1/31/1999
"THEODORICO FERRAÇO             ","THEODORICO FERRACO             ","PTB","ES","titular",2/1/1995,12/31/1996
"TILDEN SANTIAGO                ","TILDEN SANTIAGO                ","PT","MG","titular",2/1/1995,1/31/1999
"TUGA ANGERAMI                  ","TUGA ANGERAMI                  ","PSDB","SP","titular",2/1/1995,1/31/1999
"UBALDINO JUNIOR                ","UBALDINO JUNIOR                ","PSB","BA","titular",2/1/1995,12/30/1996
"UBALDO CORRÊA                  ","UBALDO CORREA                  ","PMDB","PA","titular",2/1/1995,4/20/1996
"UBIRATAN AGUIAR                ","UBIRATAN AGUIAR                ","PSDB","CE","titular",2/1/1995,1/31/1999
"UDSON BANDEIRA                 ","UDSON BANDEIRA                 ","PMDB","TO","titular",2/1/1995,5/14/1996
"UDSON BANDEIRA                 ","UDSON BANDEIRA                 ","PMDB","TO","titular",9/16/1996,1/31/1999
"ULYSSES GABOARDI               ","ULYSSES GABOARDI               ","PMDB","SC","suplente",7/16/1996,11/9/1996
"URSICINO QUEIROZ               ","URSICINO QUEIROZ               ","PFL","BA","titular",2/1/1995,1/31/1999
"USHITARO KAMIA                 ","USHITARO KAMIA                 ","PPB","SP","titular",2/1/1995,1/31/1999
"VADÃO GOMES                    ","VADAO GOMES                    ","PPB","SP","titular",2/1/1995,1/31/1999
