"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"AYRES DA CUNHA                 ","AYRES DA CUNHA                 ","PFL","SP","titular",3/19/1998,1/31/1999
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",5/19/1995,6/10/1996
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",7/10/1996,11/27/1996
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",1/1/1997,1/8/1997
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",1/27/1997,2/16/1997
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",2/24/1997,2/24/1997
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",5/6/1997,5/7/1997
"AYRTON XEREZ                   ","AYRTON XEREZ                   ","PSDB","RJ","efetivado",1/30/1998,1/31/1999
"B. SÁ                          ","B. SA                          ","PSDB","PI","titular",2/1/1995,1/31/1999
"BARBOSA NETO                   ","BARBOSA NETO                   ","PMDB","GO","titular",2/1/1995,1/31/1999
"BASÍLIO VILLANI                ","BASILIO VILLANI                ","PSDB","PR","titular",2/1/1995,1/31/1999
"BENEDITO DE LIRA               ","BENEDITO DE LIRA               ","PFL","AL","titular",2/1/1995,1/31/1999
"BENEDITO DOMINGOS              ","BENEDITO DOMINGOS              ","PPB","DF","titular",2/1/1995,12/31/1998
"BENEDITO GUIMARÃES             ","BENEDITO GUIMARAES             ","PPB","PA","titular",2/1/1995,1/31/1999
"BENITO GAMA                    ","BENITO GAMA                    ","PFL","BA","titular",2/1/1995,1/3/1999
"BETINHO ROSADO                 ","BETINHO ROSADO                 ","PFL","RN","titular",2/1/1995,1/31/1999
"BETO LELIS                     ","BETO LELIS                     ","PSB","BA","titular",2/1/1995,12/31/1996
"BETO MANSUR                    ","BETO MANSUR                    ","PPB","SP","titular",2/1/1995,12/31/1996
"BONIFÁCIO DE ANDRADA           ","BONIFACIO DE ANDRADA           ","PSDB","MG","titular",2/1/1995,1/31/1999
"BOSCO FRANÇA                   ","BOSCO FRANCA                   ","S. PART.","SE","titular",2/1/1995,1/31/1999
"CÂNDIDO MENDES                 ","CANDIDO MENDES                 ","PSDB","RJ","suplente",9/10/1997,1/29/1998
"CANDINHO MATTOS                ","CANDINHO MATTOS                ","PSDB","RJ","titular",2/1/1995,1/31/1999
"CARLOS AIRTON                  ","CARLOS AIRTON                  ","PPB","AC","titular",2/1/1995,1/31/1999
"CARLOS ALBERTO                 ","CARLOS ALBERTO                 ","PSDB","RN","titular",2/1/1995,12/21/1998
"CARLOS ALBERTO CAMPISTA        ","CARLOS ALBERTO CAMPISTA        ","PFL","RJ","titular",1/3/1997,1/31/1999
"CARLOS APOLINÁRIO              ","CARLOS APOLINARIO              ","PMDB","SP","titular",2/1/1995,1/31/1999
"CARLOS CAMURÇA                 ","CARLOS CAMURCA                 ","PPB","RO","titular",2/1/1995,12/11/1996
"CARLOS CARDINAL                ","CARLOS CARDINAL                ","PDT","RS","titular",2/1/1995,1/31/1999
"CARLOS DA CARBRÁS              ","CARLOS DA CARBRAS              ","PFL","AM","suplente",2/3/1995,3/6/1996
"CARLOS DA CARBRÁS              ","CARLOS DA CARBRAS              ","PFL","AM","suplente",5/28/1996,12/30/1996
"CARLOS MAGNO                   ","CARLOS MAGNO                   ","PFL","SE","titular",2/1/1995,1/31/1999
"CARLOS MELLES                  ","CARLOS MELLES                  ","PFL","MG","titular",2/1/1995,1/31/1999
"CARLOS MENDES                  ","CARLOS MENDES                  ","PMDB","GO","suplente",4/20/1995,4/25/1995
"CARLOS MENDES                  ","CARLOS MENDES                  ","PMDB","GO","suplente",11/11/1997,12/31/1998
"CARLOS MOSCONI                 ","CARLOS MOSCONI                 ","PSDB","MG","titular",2/1/1995,2/5/1997
"CARLOS MOSCONI                 ","CARLOS MOSCONI                 ","PSDB","MG","titular",4/2/1998,1/31/1999
"CARLOS NELSON                  ","CARLOS NELSON                  ","PMDB","SP","titular",2/1/1995,1/31/1999
"CARLOS SANTANA                 ","CARLOS SANTANA                 ","PT","RJ","titular",2/1/1995,1/31/1999
"CÁSSIO CUNHA LIMA              ","CASSIO CUNHA LIMA              ","PMDB","PB","titular",2/1/1995,12/30/1996
