"id","name","party","state","vote.1369","vote.1370","vote.1378","vote.1380","vote.1381","vote.1382","vote.1383","vote.1384","vote.1385","vote.1386","vote.1388","vote.1391","vote.1392","vote.1393","vote.1398","vote.1399","vote.1400","vote.1401","vote.1402","vote.1403","vote.1404","vote.1405","vote.1406","vote.1407","vote.1409","vote.1413","vote.1414","vote.1415","vote.1416","vote.1417","vote.1418","vote.1420","vote.1421","vote.1422","vote.1423","vote.1424","vote.1426","vote.1427","vote.1429","vote.1431","vote.1432","vote.1478","vote.1479","vote.1480","vote.1483","vote.1484","vote.1485","vote.1486","vote.1487","vote.1488","vote.1489","vote.1490","vote.1491","vote.1493","vote.1494","vote.1496","vote.1503","vote.1509","vote.1513","vote.1517","vote.1518","vote.1526","vote.1527","vote.1528","vote.1529","vote.1530","vote.1532","vote.1533","vote.1534","vote.1535","vote.1538","vote.1540","vote.1541","vote.1544","vote.1545","vote.1548","vote.1551","vote.1552","vote.1572","vote.1573","vote.1574","vote.1575","vote.1576","vote.1577","vote.1578","vote.1579","vote.1580","vote.1581","vote.1583","vote.1584","vote.1589"
488,"AIRTON DIPP","PDT","RS",1,2,1,1,1,1,2,1,2,5,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,2,4,1,1,2,2,1,1,1,1,4,1,1,1,1,2,4,4,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,4,4,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1
442,"AIRTON ROVEDA","PSDB","PR",1,2,1,2,2,2,1,4,1,5,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,2,1,2,2,1,1,1,1,1,1,2,1,1,4,2,1,4,4,1,4,1,1,1,1,2,1,2,1,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"AIRTON ROVEDA","PTB","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,2,4,2,1,1,1,4,4,1,1,4,4,1,2,4,1,1,2,4,4,1,4,4,4,4,1,1
68,"ALBERICO FILHO","PMDB","MA",1,2,1,2,2,2,1,1,1,4,1,1,1,1,4,1,4,1,2,2,2,2,2,2,4,4,1,2,2,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1,1,1,4,4,1,2,1,4,4,2,4,4,1,4,4,4,1,4,2,2,2,1,4,1,4,4,2,1,4,1,2,2,4,4,4,4,4,4,4,4,2,1,1,4,1
545,"ALBERTO FRAGA","PMDB","DF",1,1,1,2,2,2,1,4,1,4,1,4,1,1,2,1,4,1,2,2,2,2,2,2,2,2,1,2,2,4,1,1,1,4,1,4,1,1,2,2,1,1,1,1,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,5,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
330,"ALBERTO GOLDMAN","PSDB","SP",1,1,1,4,2,2,1,1,1,5,1,1,4,1,4,1,4,2,2,2,2,2,2,2,2,2,1,2,2,1,1,4,1,1,1,4,1,1,4,2,1,1,1,4,4,1,1,4,1,2,1,4,1,2,4,2,4,5,4,1,2,1,1,4,2,2,2,1,4,1,1,2,1,1,5,1,2,4,1,1,1,2,1,4,3,4,2,1,1,4,1
1,"ALCESTE ALMEIDA","PL","RR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,1,4,2,1,4,2,1,2,4,1,1,1,2,4,1,1,4,2,1,1,4,1
1,"ALCESTE ALMEIDA","PMDB","RR",1,1,1,2,2,4,4,4,4,4,4,4,4,4,2,1,4,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,4,4,1,2,2,1,4,1,4,4,4,1,4,1,2,1,4,1,2,1,2,1,4,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"ALCEU COLLARES","PDT","RS",4,2,1,1,1,1,2,1,2,4,2,2,2,2,1,1,4,1,1,1,1,1,1,1,4,1,4,1,2,1,1,1,2,1,2,4,1,1,2,2,4,1,1,1,4,4,1,1,1,2,4,4,1,2,2,1,4,2,1,1,1,1,5,1,2,2,2,1,1,1,4,4,1,1,2,2,1,2,2,2,1,2,1,1,2,4,1,1,2,4,1
529,"ALCIONE ATHAYDE","PPB","RJ",1,2,1,2,2,2,2,1,1,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,"ALCIONE ATHAYDE","PSB","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,1,4,4,1,1,5,1,1,2,4,1,1,4,2,1,2,4,4,4,2,2,1,4,4,1,4,1,1,1,4,2,4,4,4,4,4,1,4,4,4,4,1,4,2,2,4,2,2,4,4,4,4,4,4,4,4,2,1,2,2,2,1,2,4,2,2,4,4,4,4,4,4
283,"ALDIR CABRAL","PFL","RJ",4,4,1,2,2,2,1,1,1,4,1,1,1,1,2,1,4,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,4,1,1,4,4,2,1,2,1,2,4,2,1,4,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,4,4,4,4,1,1,1,2,1,1,1,4,2,1,1,2,1
579,"ALDO ARANTES","PCdoB","GO",1,2,1,1,1,1,2,1,2,2,2,2,1,2,4,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,1,2,4,1,1,2,2,1,4,4,4,5,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,4,5,2,1,1,2,2,1,2,2,2,1,2,2,2,2,4,4,4,4,4,4
331,"ALDO REBELO","PCdoB","SP",1,2,1,1,1,5,2,1,2,2,2,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,2,4,1,1,2,2,1,1,1,1,4,1,1,1,4,4,2,2,4,2,2,1,2,2,1,1,1,4,4,4,4,4,4,4,1,1,5,2,4,1,2,2,4,2,2,2,1,2,2,2,2,4,4,4,4,4,4
445,"ALEX CANZIANI","PSDB","PR",1,2,1,4,1,2,1,4,4,5,1,4,1,2,2,1,2,4,4,4,2,2,4,2,2,2,4,2,2,1,4,1,1,1,1,4,4,4,4,2,1,1,1,1,4,1,4,4,1,2,1,2,1,2,4,2,1,5,1,4,2,1,1,1,4,2,2,1,1,1,1,2,1,1,5,1,2,4,1,4,1,2,1,4,1,4,2,1,1,4,1
284,"ALEXANDRE CARDOSO","PSB","RJ",1,2,1,4,1,1,2,1,2,2,2,2,1,2,1,1,4,1,1,1,1,4,1,1,1,4,4,4,4,4,4,4,4,4,2,4,1,1,2,2,1,4,4,1,4,4,4,4,4,4,2,4,1,2,2,1,4,2,1,4,1,1,2,2,2,4,2,2,1,1,4,4,1,4,2,2,1,2,2,2,1,2,1,2,2,4,4,1,1,2,1
285,"ALEXANDRE SANTOS","PSDB","RJ",1,2,4,4,4,2,1,1,1,4,1,1,1,1,4,1,2,4,4,4,4,4,4,4,4,2,1,2,2,1,1,1,1,1,1,4,4,1,1,4,1,1,1,4,4,1,1,4,1,4,1,4,4,4,4,2,1,4,4,4,4,4,1,1,2,2,2,1,1,4,4,2,1,1,3,1,2,4,1,1,4,2,1,1,1,4,2,1,1,1,1
89,"ALMEIDA DE JESUS","PL","CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,1,4,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,4,2,4,4,4,4,4,4,1,1,4,4,4,4,4,2,1,2,2,2,1,2,2,2,2,4,1,1,1,4,4
286,"ALMERINDA DE CARVALHO","PFL","RJ",4,4,1,4,4,4,1,1,1,4,1,1,1,1,2,1,4,2,2,2,2,2,4,1,2,2,1,2,2,1,1,1,1,1,1,5,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,"ALMERINDA DE CARVALHO","PPB","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,1,1,1,2,1,2,1,2,4,2,1,4,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"ALMIR SA","PPB","RR",1,1,1,4,2,2,1,4,1,5,1,1,1,1,2,1,4,2,2,2,2,2,2,4,2,2,1,2,2,1,1,1,1,1,4,4,1,1,1,2,1,1,1,1,4,4,1,1,1,2,1,4,1,2,4,2,1,4,4,4,4,1,1,1,2,2,2,1,4,1,1,2,2,1,4,1,2,4,1,1,1,2,1,1,1,4,4,4,4,4,1
332,"ALOIZIO MERCADANTE","PT","SP",1,2,4,4,4,1,2,4,4,4,2,2,2,2,1,1,4,1,4,1,1,1,1,1,4,1,1,1,1,4,1,1,2,1,2,4,1,1,4,2,1,1,1,1,4,1,1,1,1,4,2,2,1,2,2,4,4,2,4,4,4,1,2,1,2,2,4,1,1,1,4,4,1,1,2,2,1,2,2,2,1,2,1,1,1,4,4,4,1,4,1
119,"ANA CATARINA","PMDB","RN",1,1,1,4,4,2,4,1,1,4,1,1,1,1,2,1,4,4,2,2,4,4,2,2,4,4,1,2,2,4,1,4,1,1,1,4,4,1,2,2,1,4,1,4,4,4,4,1,1,2,1,2,4,2,4,4,1,5,1,4,4,1,1,4,4,2,2,1,4,1,4,2,1,1,5,1,2,2,2,2,4,4,4,4,4,4,2,1,1,1,1
601,"ANA CORSO","PT","RS",NA,NA,1,1,4,1,2,1,2,5,2,2,2,2,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,4,1,1,2,2,1,1,1,4,4,4,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,4,4,4,4,4,4,1,1,5,2,1,1,2,2,1,2,2,2,1,2,1,1,1,4,1,1,1,2,1
601,"ANA MARIA CORSO","PT","RS",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"ANDRE BENASSI","PSDB","SP",1,2,1,2,2,2,1,1,1,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,4,1,1,1,1,2,1,2,1,2,4,2,1,4,1,1,2,4,1,1,2,2,2,1,1,1,1,2,1,1,4,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
340,"ANGELA GUADAGNIN","PT","SP",4,2,1,4,4,1,2,1,2,5,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,4,1,2,2,1,4,1,1,4,1,4,1,1,2,2,2,1,2,2,4,2,2,1,1,1,1,2,1,2,2,2,1,1,1,4,4,1,1,2,2,1,2,2,2,4,4,4,4,4,4,1,1,1,2,1
87,"ANIBAL GOMES","PMDB","CE",4,4,1,2,2,2,1,1,1,4,1,1,1,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,1,1,1,4,1,1,1,4,4,1,4,1,2,4,2,1,4,1,1,4,4,1,1,2,4,4,4,1,1,1,4,4,1,5,4,4,4,2,1,1,2,1,1,4,3,2,1,4,4,1
19,"ANIVALDO VALE","PSDB","PA",1,2,1,2,2,2,1,1,1,4,1,1,1,1,2,4,4,2,2,4,2,2,2,2,2,4,1,2,2,1,1,4,1,4,1,5,4,4,1,4,1,1,1,4,4,1,4,1,1,2,1,2,1,2,5,4,1,4,1,1,2,1,1,4,2,2,2,1,1,1,1,2,1,1,5,1,2,4,1,1,1,4,1,1,1,4,2,1,1,1,4
91,"ANTONIO CAMBRAIA","PSDB","CE",1,2,1,2,2,2,1,1,1,5,1,1,1,1,2,1,2,2,2,2,2,4,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,4,1,2,1,1,1,1,4,1,1,1,1,2,1,2,1,2,4,2,1,5,4,1,2,1,1,1,2,2,2,1,1,1,4,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,"ANTONIO CARLOS KONDER REIS","PFL","SC",1,1,1,2,2,2,2,1,1,3,1,1,1,1,2,1,4,1,4,2,2,2,2,1,2,2,1,2,3,4,1,4,1,1,1,5,1,1,1,2,1,1,1,1,4,4,1,1,1,2,1,2,1,2,5,1,2,4,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,5,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",4,4,4,4,4,2,1,1,1,4,1,1,1,1,2,1,4,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,4,4,1,1,4,2,1,2,1,2,4,2,1,4,1,1,2,1,1,1,2,2,2,1,1,1,1,4,1,1,4,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
620,"ANTONIO CRUZ","PMDB","MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,"ANTONIO DO VALLE","PMDB","MG",1,1,1,2,1,2,1,1,1,5,1,2,1,2,1,1,2,4,4,4,4,4,4,4,4,2,1,2,2,1,1,1,1,1,1,4,1,1,2,2,1,1,1,4,5,1,1,1,1,2,1,2,1,2,5,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,4,1,1,2,5,1,1,1,2,1,1,1,4,2,1,1,1,1
9,"ANTONIO FEIJAO","PSDB","AP",1,2,1,2,2,2,1,1,1,4,1,1,1,1,4,1,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,1,4,1,4,1,1,4,4,4,4,4,1,4,4,1,1,1,2,1,4,1,2,4,4,4,5,1,1,2,4,4,4,4,4,4,4,4,4,1,2,1,1,5,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,4
536,"ANTONIO JOAQUIM ARAUJO","PPB","MA",1,1,1,2,2,4,1,1,1,4,1,1,1,1,2,1,4,2,2,2,2,2,4,1,4,4,4,4,4,4,4,4,4,4,1,4,1,4,1,2,1,4,4,1,4,4,4,4,1,2,4,4,4,4,4,4,4,4,1,1,2,1,4,1,4,4,2,1,4,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
60,"ANTONIO JORGE","PTB","TO",1,2,1,2,2,2,1,1,1,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,4,1,1,1,1,2,1,2,1,2,4,2,1,4,1,1,2,1,1,1,4,2,2,1,4,1,4,4,1,1,4,1,1,2,1,1,1,2,1,1,1,4,2,1,1,1,1
335,"ANTONIO KANDIR","PSDB","SP",1,1,4,2,2,2,1,4,1,4,1,1,1,1,4,1,2,2,2,2,2,2,2,2,4,4,1,2,2,4,1,4,1,1,1,4,4,4,4,4,4,4,4,1,4,4,1,1,1,2,4,4,4,4,4,4,4,4,4,1,2,1,1,1,4,4,4,4,1,4,4,4,1,1,4,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
223,"ARACELY DE PAULA","PFL","MG",1,1,1,4,2,2,1,4,4,4,1,1,1,1,2,1,4,2,2,2,2,2,4,4,2,2,1,2,2,1,4,1,1,1,1,4,1,4,1,2,1,1,4,1,4,4,1,4,1,2,1,2,1,2,3,2,1,4,4,1,2,1,1,1,2,2,2,1,1,1,4,4,1,1,5,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
589,"ARISTON ANDRADE","PFL","BA",1,1,1,2,2,2,1,1,1,4,1,1,1,1,2,1,5,2,2,2,4,2,2,2,2,2,1,2,2,4,1,1,1,1,1,4,1,1,1,2,1,4,1,1,4,1,4,4,1,2,1,2,1,2,5,2,1,4,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,4,4,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
129,"ARMANDO ABILIO","PSDB","PB",1,2,1,2,2,2,1,1,1,4,1,1,1,1,4,1,4,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,4,1,1,1,2,1,4,4,4,4,1,1,1,1,1,1,2,1,4,4,2,1,4,1,1,4,1,1,1,2,2,2,1,1,1,1,2,1,1,4,1,2,4,1,1,1,2,1,1,1,4,2,1,1,4,4
144,"ARMANDO MONTEIRO","PMDB","PE",1,1,1,2,2,2,1,1,1,4,1,1,1,2,2,1,4,2,2,4,2,2,2,2,1,1,2,2,1,1,3,4,2,4,1,5,1,1,2,2,1,4,4,1,4,4,4,4,1,2,4,4,1,2,5,2,1,4,1,1,4,1,1,1,2,2,4,1,4,4,4,4,1,1,5,1,2,4,1,1,1,2,1,4,1,4,4,1,1,1,4
337,"ARNALDO FARIA DE SA","PPB","SP",1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,2,1,1,1,1,1,2,1,1,2,1,1,4,1,2,1,2,1,3,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"ARNALDO FARIA DE SA","PTB","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,4,1,1,1,4,1
343,"ARNALDO MADEIRA","PSDB","SP",1,2,1,2,2,2,1,1,1,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,1,3,3,1,2,1,2,1,2,4,2,3,5,1,1,4,1,1,1,2,2,2,1,1,1,1,2,1,1,5,1,2,4,1,1,1,2,1,1,1,4,2,1,1,4,1
90,"ARNON BEZERRA","PSDB","CE",1,2,1,2,2,4,4,4,4,4,1,1,1,1,2,1,4,2,2,2,2,4,2,2,2,4,1,2,2,1,4,1,1,4,1,4,4,1,4,2,1,4,1,4,4,4,1,1,1,2,1,2,1,2,4,2,1,3,4,4,2,4,1,1,2,2,2,1,1,1,1,2,1,4,5,4,2,4,1,1,1,4,4,1,4,4,4,4,4,4,4
288,"AROLDE DE OLIVEIRA","PFL","RJ",4,4,1,2,2,2,1,1,1,4,1,4,4,4,2,1,4,2,2,2,2,4,2,2,4,2,4,2,4,4,1,4,1,1,1,4,1,1,1,2,1,4,4,1,4,1,1,1,1,4,1,2,1,2,4,2,4,4,1,1,2,4,1,1,2,2,2,4,1,1,1,2,1,1,4,1,2,4,1,1,1,2,1,1,4,4,2,1,1,1,4
37,"ARTHUR VIRGILIO","PSDB","AM",1,2,4,4,2,4,4,4,4,4,1,4,4,1,4,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,1,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,1,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
