"id","name","party","state","vote.100000690","vote.100000691","vote.100000692","vote.100000693","vote.100000694","vote.100000695","vote.100000696","vote.100000697","vote.100000698","vote.100000699","vote.100000700","vote.100000701","vote.100000702","vote.100000703","vote.100000704","vote.100000705","vote.100000708"
431,"BASILIO VILLANI","PPR","PR",1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,NA,2,NA
286,"BENEDITA DA SILVA","PT","RJ",2,NA,2,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,2,NA
172,"BENEDITO DE FIGUEIREDO","PDT","SE",1,2,NA,NA,1,NA,1,NA,NA,2,1,NA,2,2,1,NA,1
397,"BENEDITO DOMINGOS","PP","DF",NA,1,1,1,NA,NA,NA,NA,1,2,NA,2,1,1,NA,1,NA
182,"BENITO GAMA","PFL","BA",2,NA,1,1,NA,1,NA,NA,NA,2,NA,2,1,NA,NA,1,1
183,"BERALDO BOAVENTURA","PSDB","BA",2,2,3,1,1,NA,1,1,1,2,3,2,2,1,NA,2,NA
37,"BETH AZIZE","PDT","AM",NA,NA,1,1,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA
377,"BETO MANSUR","PPR","SP",1,2,1,NA,NA,1,NA,2,1,1,NA,1,NA,NA,1,NA,1
225,"BONIFACIO DE ANDRADA","PTB","MG",NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,1,1
522,"CAMILO MACHADO","PTB","MG",NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
380,"CARDOSO ALVES","PTB","SP",1,2,NA,NA,1,1,NA,2,NA,NA,2,2,1,3,NA,NA,NA
287,"CARLOS ALBERTO CAMPISTA","PDT","RJ",1,2,1,NA,NA,NA,NA,1,2,NA,NA,1,2,NA,NA,NA,NA
484,"CARLOS AZAMBUJA","PPR","RS",NA,2,3,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,2,NA
88,"CARLOS BENEVIDES","PMDB","CE",NA,2,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"CARLOS CAMURCA","PP","RO",NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA
483,"CARLOS CARDINAL","PDT","RS",NA,2,1,NA,NA,1,NA,1,2,NA,NA,1,2,NA,NA,NA,1
18,"CARLOS KAYATH","PTB","PA",NA,NA,1,2,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2
289,"CARLOS LUPI","PDT","RJ",1,2,1,1,2,2,1,1,2,2,1,1,2,NA,NA,NA,NA
549,"CARLOS NELSON","PMDB","SP",NA,NA,1,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
433,"CARLOS ROBERTO MASSA","PTB","PR",1,NA,NA,NA,NA,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA
